work_year,salary,remote_ratio
2024,90000,0
2024,180500,0
2024,96200,0
2024,235000,0
2024,175000,0
2024,95413,100
2024,70692,100
2024,110000,0
2024,48000,0
2024,222300,0
2024,119700,0
2024,170375,100
2024,102500,100
2024,270000,0
2024,190000,0
2024,98000,0
2024,68300,0
2024,223100,100
2024,126400,100
2024,283800,100
2024,198900,100
2024,166000,0
2024,73000,0
2024,130000,0
2024,100000,0
2024,220000,0
2024,137500,0
2024,234000,0
2024,146000,0
2024,39600,0
2024,33600,0
2024,275000,100
2024,200000,100
2024,204000,0
2024,163200,0
2024,135000,100
2024,110000,100
2024,195000,100
2024,170000,100
2024,210000,0
2024,130000,0
2024,136000,0
2024,106700,0
2024,164000,0
2024,131000,0
2024,250000,0
2024,170000,0
2024,175000,0
2024,117000,0
2024,205500,100
2024,135000,100
2024,146000,0
2024,82500,0
2024,240000,0
2024,180000,0
2024,157500,100
2024,132500,100
2024,209943,0
2024,155175,0
2024,244800,0
2024,172000,0
2024,250000,0
2024,200000,0
2024,600000,0
2024,280000,0
2024,600000,0
2024,280000,0
2024,180000,0
2024,160000,0
2024,184180,0
2024,159870,0
2024,195000,0
2024,110000,0
2024,500000,100
2024,180000,100
2024,220000,0
2024,137500,0
2024,212000,0
2024,93300,0
2024,212000,0
2024,93300,0
2024,291900,0
2024,103800,0
2024,234000,0
2024,146000,0
2024,212000,0
2024,93300,0
2024,160000,100
2024,70000,100
2024,179000,0
2024,112000,0
2024,145000,0
2024,120000,0
2024,142100,0
2024,94700,0
2024,166000,0
2024,73100,0
2024,145000,0
2024,128000,0
2024,90000,0
2024,75000,0
2024,99000,0
2024,87000,0
2024,334075,0
2024,268500,0
2024,230000,0
2024,195000,0
2024,212000,0
2024,93300,0
2024,110500,0
2024,69000,0
2024,100000,0
2024,85000,0
2024,107690,0
2024,78300,0
2024,131000,100
2024,110000,100
2024,133000,0
2024,58400,0
2024,115000,100
2024,87550,100
2024,209309,0
2024,168854,0
2024,133000,0
2024,58400,0
2024,269000,0
2024,165000,0
2024,245000,0
2024,185000,0
2024,333500,0
2024,180000,0
2024,195000,100
2024,147500,100
2024,187500,0
2024,99500,0
2024,126400,100
2024,101100,100
2024,167400,100
2024,116600,100
2024,126000,0
2024,87000,0
2024,152375,100
2024,94000,100
2024,80000,0
2024,45000,0
